Task,Model,Metric,Value,Fold
BCL2L11,mkl,pearson_p,4.5988706794094185e-33,All
BCL2L11,mkl,r2_score,-2.69499656814946,All
BCL2L11,mkl,spearman,0.5398341324497382,All
BCL2L11,mkl,spearman_p,7.381042200649408e-32,All
BECN1,mkl,pearson,0.08977896220437985,All
BECN1,mkl,pearson_p,0.07180713365675175,All
BECN1,mkl,r2_score,-11.40158911555932,All
BECN1,mkl,spearman,0.044314100466508556,All
BECN1,mkl,spearman_p,0.374932454356527,All
BID,mkl,pearson,0.15038804181450055,All
BID,mkl,pearson_p,0.002470973371822609,All
BID,mkl,r2_score,-10.125283088672006,All
BID,mkl,spearman,0.18666372948118654,All
BID,mkl,spearman_p,0.00016404425327960743,All
BIRC2,mkl,pearson,0.2475620626100517,All
BIRC2,mkl,pearson_p,4.831371295243383e-07,All
BIRC2,mkl,r2_score,-6.303649713234737,All
BIRC2,mkl,spearman,0.25736277540521885,All
BIRC2,mkl,spearman_p,1.614649655743823e-07,All
BRAF,mkl,pearson,0.5432747158307387,All
BRAF,mkl,pearson_p,2.548291890842208e-32,All
BRAF,mkl,r2_score,-2.1511721151703096,All
BRAF,mkl,spearman,0.5044914457230837,All
BRAF,mkl,spearman_p,2.0822751813050548e-27,All
BRCA2,mkl,pearson,0.23738454940156115,All
BRCA2,mkl,pearson_p,1.4375688571106913e-06,All
BRCA2,mkl,r2_score,-8.323762756739564,All
BRCA2,mkl,spearman,0.254172277594698,All
BRCA2,mkl,spearman_p,2.318479893970167e-07,All
BRD4,mkl,pearson,0.34579948343793493,All
BRD4,mkl,pearson_p,9.210083277678216e-13,All
BRD4,mkl,r2_score,-5.189805890998177,All
BRD4,mkl,spearman,0.4107517306384633,All
BRD4,mkl,spearman_p,7.780659407072311e-18,All
CASP3,mkl,pearson,0.40181767787813955,All
CASP3,mkl,pearson_p,4.543850136222045e-17,All
CASP3,mkl,r2_score,-2.847018872860243,All
CASP3,mkl,spearman,0.4266305721667351,All
CASP3,mkl,spearman_p,2.9574292163508566e-19,All
CASP7,mkl,pearson,0.687210471411967,All
CASP7,mkl,pearson_p,1.280311190550806e-57,All
