Cell Line Id,Primary Site,Actual,Predicted,Drug
HCC1937,BREAST,-1.11850141,0.7630660514422303,AZD7762
HCC2218,BREAST,3.68409551,1.1923644563934572,AZD7762
MDAMB231,BREAST,0.74067587,-0.4626339063340924,AZD7762
T47D,BREAST,4.40608018,0.781241001665736,AZD7762
ZR7530,BREAST,2.93320504,3.0972341559662735,AZD7762
AU565,BREAST,0.22068985,1.8915069356451955,CEP701
BT20,BREAST,0.49000869,0.7107258734591374,CEP701
EFM19,BREAST,-1.78106163,1.3425810081628309,CEP701
HCC1500,BREAST,2.33757509,1.0504240852958764,CEP701
HCC1569,BREAST,2.42027216,0.9063069795459662,CEP701
HCC1806,BREAST,0.6482391975,-0.05516990774700514,CEP701
JIMT1,BREAST,0.26513681,0.6114946905455931,CEP701
MCF7,BREAST,0.15100836,1.7480734447715953,CEP701
MDAMB157,BREAST,0.6482391975,0.419660968724356,CEP701
MDAMB175VII,BREAST,0.16725764,2.1154003313724616,CEP701
BT483,BREAST,2.79673734,1.8035425272457122,CEP701
BT549,BREAST,-1.2843294,-1.212194372048501,CEP701
CAL851,BREAST,1.45035042,0.0036747204560036995,CEP701
HCC1954,BREAST,1.67351096,0.41644362307114036,CEP701
HDQP1,BREAST,-0.15531396,-0.31747233251657936,CEP701
MDAMB361,BREAST,-0.49784524,0.5551843732070788,CEP701
MDAMB415,BREAST,1.16700508,0.7850881139021744,CEP701
MDAMB468,BREAST,-0.70299578,-0.043698048947997004,CEP701
UACC893,BREAST,2.8417411,1.7895808261056014,CEP701
BT474,BREAST,0.50843721,1.6415776893181782,CEP701
CAMA1,BREAST,0.6482391975,1.2809219047344524,CEP701
EFM192A,BREAST,1.5703869,0.13227589725684297,CEP701
EVSAT,BREAST,-0.60252507,1.052376683594003,CEP701
HCC1187,BREAST,-1.51660601,0.278516209157198,CEP701
HCC1395,BREAST,0.8241233,-0.08025500976015432,CEP701
HCC1599,BREAST,0.6482391975,0.5707676449582391,CEP701
HCC2157,BREAST,-0.96178176,1.0190086717413618,CEP701
HS578T,BREAST,-0.13237592,0.7621692244505973,CEP701
HCC1143,BREAST,0.34290797,-0.48748765977425895,CEP701
HCC1419,BREAST,3.58293201,1.9502223948655073,CEP701
HCC1428,BREAST,2.95900652,1.470815348240474,CEP701
HCC202,BREAST,3.67618836,2.8131068980245244,CEP701
HCC38,BREAST,0.7405943,0.6932649842465483,CEP701
HCC70,BREAST,0.48424665,1.3847877118751772,CEP701
MDAMB436,BREAST,0.22873298,0.3189970178281406,CEP701
MDAMB453,BREAST,0.47352396,-0.3993126467505714,CEP701
UACC812,BREAST,0.6482391975,-0.6703619078932637,CEP701
CAL120,BREAST,-1.31538799,0.7359157883204459,CEP701
CAL148,BREAST,0.6482391975,-0.8200900852544499,CEP701
CAL51,BREAST,-1.34564489,0.41465444837704996,CEP701
DU4475,BREAST,-1.6723929,0.7291340721833937,CEP701
HCC1937,BREAST,0.65854913,1.3584034238685203,CEP701
HCC2218,BREAST,2.90527282,0.7060872880472651,CEP701
MDAMB231,BREAST,-0.52073089,0.010980900727470044,CEP701
T47D,BREAST,1.53588282,0.6570684198636472,CEP701
ZR7530,BREAST,1.94648091,1.8912715855529525,CEP701
AU565,BREAST,-0.5337572270000001,0.4496566309816028,FK866
BT20,BREAST,1.74253767,0.23471671224826518,FK866
EFM19,BREAST,0.12217197,-0.2763252831051355,FK866
HCC1500,BREAST,-3.11320174,-0.31799316267160044,FK866
HCC1569,BREAST,-2.40382068,-0.806776258228489,FK866
HCC1806,BREAST,-3.85864321,-1.1879801422346246,FK866
JIMT1,BREAST,-3.81937509,1.1856917906740019,FK866
MCF7,BREAST,-2.52299722,-1.0247241512555427,FK866
MDAMB157,BREAST,-1.30430935,0.29874190877590745,FK866
MDAMB175VII,BREAST,2.64868455,2.002572603193123,FK866
BT483,BREAST,3.41661356,1.6925036979048464,FK866
BT549,BREAST,-1.33732448,-3.3110298305850616,FK866
CAL851,BREAST,-0.24167817,-1.196513549371718,FK866
HCC1954,BREAST,1.44777523,1.0182031473109237,FK866
